perturbation	scanDates	scanTimes
477_1969_10628_WTEGF1_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10629_WTEGF2_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10630_WTEGF3_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10631_wtegf4_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10632_wtegf5_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10633_WTEGF6_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10635_WTEGF8_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10636_WTEGF9_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10637_wtegf10_HTA_HG-U133A.CEL	EGFR	NA	NA
477_1969_10688_eGFPEGF1_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10689_eGFPEGF2_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10690_eGFPEGF3_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10691_eGFPEGF4_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10692_eGFPEGF5_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10693_eGFPEGF6_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10694_eGFPEGF7_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10695_eGFPEGF8_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10696_eGFPEGF9_HTA_HG-U133A.CEL	GFP	NA	NA
477_1969_10697_eGFPEGF10_HTA_HG-U133A.CEL	GFP	NA	NA
