perturbation	scanDates	scanTimes
0159_6229_h133_GFP1.CEL	PI3K	03/11/04	11:40:52
0159_6230_h133_GFP2_cel.CEL	PI3K	03/11/04	11:53:10
0159_6231_h133_GFP3_cel.CEL	PI3K	03/11/04	12:05:10
0159_6232_h133_GFP4_cel.CEL	PI3K	03/11/04	12:17:15
0159_6233_h133_GFP5_cel.CEL	PI3K	03/11/04	12:29:10
0159_6234_h133_GFP6_cel.CEL	PI3K	03/11/04	12:41:34
0159_6235_h133_GFP7_cel.CEL	PI3K	03/11/04	12:54:10
0159_6236_h133_GFP8_cel.CEL	PI3K	03/11/04	13:06:16
0159_6237_h133_GFP9_cel.CEL	PI3K	03/11/04	13:18:43
0159_6238_h133_GFP10_cel.CEL	PI3K	03/11/04	13:31:01
0159_7405_h133_P110A1_cel.CEL	GFP	01/12/05	12:03:37
0159_7406_h133_P110B2_cel.CEL	GFP	01/12/05	12:16:29
0159_7408_h133_P110D4_cel.CEL	GFP	01/12/05	12:35:12
0159_7409_h133_P110E5_cel.CEL	GFP	01/12/05	12:47:54
0159_7410_h133_P110F6_cel.CEL	GFP	01/12/05	13:00:44
0159_7411_h133_P110G7_cel.CEL	GFP	01/12/05	13:13:41
0159_7412_h133_P110H8_cel.CEL	GFP	01/12/05	13:26:29
0159_7413_h133_P110I9_cel.CEL	GFP	01/12/05	13:39:19
0159_7414_h133_P110J10_cel.CEL	GFP	01/12/05	13:52:03
