perturbation	scanDates	scanTimes
1332_2738_13666_Ras1_HG-U133A+2.CEL	RAS	2008-02-15	19:08:37
1332_2738_13667_Ras2_HG-U133A+2_2.CEL	RAS	2008-02-15	21:40:05
1332_2738_13667_Ras2_HG-U133A+2.CEL	RAS	2008-02-15	19:15:01
1332_2738_13668_Ras3_HG-U133A+2.CEL	RAS	2008-02-15	19:21:32
1332_2738_13669_Ras4_HG-U133A+2.CEL	RAS	2008-02-15	19:27:58
1332_2738_13670_Ras5_HG-U133A+2.CEL	RAS	2008-02-15	20:34:54
1332_2738_13671_Ras6_HG-U133A+2.CEL	RAS	2008-02-15	20:41:24
1332_2738_13672_Ras7_HG-U133A+2.CEL	RAS	2008-02-15	20:47:53
1332_2738_13673_Ras8_HG-U133A+2.CEL	RAS	2008-02-15	20:54:27
1332_2738_13674_Ras9_HG-U133A+2.CEL	RAS	2008-02-15	21:01:07
1332_2738_13675_Ras10_HG-U133A+2.CEL	RAS	2008-02-15	21:07:41
1332_2738_13676_GFP-R2_HG-U133A+2.CEL	GFP	2008-02-15	21:14:04
1332_2738_13677_GFP-R3_HG-U133A+2.CEL	GFP	2008-02-15	21:20:33
1332_2738_13678_GFP-R4_HG-U133A+2.CEL	GFP	2008-02-21	18:01:53
1332_2738_13679_GFP-R5_HG-U133A+2.CEL	GFP	2008-02-21	18:08:27
1332_2738_13680_GFP-R6_HG-U133A+2.CEL	GFP	2008-02-21	18:15:05
1332_2738_13681_GFP-R7_HG-U133A+2.CEL	GFP	2008-02-21	18:21:40
1332_2738_13682_GFP-R8_HG-U133A+2.CEL	GFP	2008-02-21	18:30:32
1332_2738_13683_GFP-R9_HG-U133A+2.CEL	GFP	2008-02-21	18:37:04
